county,population,h_units,occupied,vacant
Apache,66021,28723,22103,6620
Cochise,125447,58648,50936,7712
Coconino,145101,69108,51320,17788
Gila,53272,32373,22312,10061
Graham,38533,13704,12150,1554
Greenlee,9563,4389,3634,755
La Paz,16557,13457,7370,6087
Maricopa,4420568,1812827,1643579,169248
Mohave,213267,117650,91270,26380
Navajo,106717,56180,36836,19344
Pima,1043433,470132,427021,43111
Pinal,425264,172878,146663,26215
Santa Cruz,47669,18729,16670,2059
Yavapai,236209,121154,104425,16729
Yuma,203881,92048,69589,22459
